package,repo
wireplumber,https://gitlab.freedesktop.org/pipewire/wireplumber
libpipeline,https://gitlab.com/libpipeline/libpipeline
kf6-ksvg,https://invent.kde.org/frameworks/ksvg
kconfigwidgets,https://invent.kde.org/frameworks/kconfigwidgets
kf6-purpose,https://invent.kde.org/frameworks/purpose
libnice,https://gitlab.freedesktop.org/libnice/libnice
gspell,https://gitlab.gnome.org/GNOME/gspell
libgsf,https://gitlab.gnome.org/GNOME/libgsf
libcdio-paranoia,https://github.com/rocky/libcdio-paranoia
libpeas,https://gitlab.gnome.org/GNOME/libpeas
libxxf86dga,https://gitlab.freedesktop.org/xorg/lib/libxxf86dga
libplasma,https://invent.kde.org/plasma/libplasma
kwindowsystem,https://invent.kde.org/frameworks/kwindowsystem
gsound,https://gitlab.gnome.org/GNOME/gsound
libpwquality,https://github.com/libpwquality/libpwquality
kf6-kparts,https://invent.kde.org/frameworks/kparts
exempi,https://gitlab.freedesktop.org/libopenraw/exempi
sphinxbase,https://github.com/cmusphinx/sphinxbase
kiconthemes,https://invent.kde.org/frameworks/kiconthemes
gjs,https://gitlab.gnome.org/GNOME/gjs
libei,https://gitlab.freedesktop.org/libinput/libei
libraw,https://github.com/LibRaw/LibRaw
iproute2,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git
libsoup2.4,https://gitlab.gnome.org/GNOME/libsoup
kdbusaddons,https://invent.kde.org/frameworks/kdbusaddons
libosinfo,https://gitlab.com/libosinfo/libosinfo
gexiv2,https://gitlab.gnome.org/GNOME/gexiv2
gtk-layer-shell,https://github.com/wmww/gtk-layer-shell
ktextaddons,https://invent.kde.org/libraries/ktextaddons
libnftnl,https://git.netfilter.org/libnftnl/
kservice,https://invent.kde.org/frameworks/kservice
clutter-1.0,https://gitlab.gnome.org/GNOME/clutter
dbus-python,https://gitlab.freedesktop.org/dbus/dbus-python
libinstpatch,https://github.com/swami/libinstpatch
packagekit,https://github.com/PackageKit/PackageKit
librest,https://gitlab.gnome.org/GNOME/librest
vte2.91,https://gitlab.gnome.org/GNOME/vte
gnome-settings-daemon,https://gitlab.gnome.org/GNOME/gnome-settings-daemon
libb-hooks-op-check-perl,https://github.com/karenetheridge/B-Hooks-OP-Check
openssh,https://github.com/openssh/openssh-portable
sonnet,https://invent.kde.org/frameworks/sonnet
pocketsphinx,https://github.com/cmusphinx/pocketsphinx
gst-plugins-bad1.0,https://gitlab.freedesktop.org/gstreamer/gst-plugins-bad
rubberband,https://github.com/breakfastquay/rubberband
kcmutils,https://invent.kde.org/frameworks/kcmutils
liblinear,https://github.com/cjlin1/liblinear
light-locker,https://github.com/the-cavalry/light-locker
freeglut,https://github.com/freeglut/freeglut
java-atk-wrapper,https://gitlab.gnome.org/GNOME/java-atk-wrapper
sg3-utils,https://github.com/hreinecke/sg3_utils
libmouse-perl,https://github.com/xslate/p5-Mouse
marco,https://github.com/mate-desktop/marco
xfce4-clipman-plugin,https://gitlab.xfce.org/panel-plugins/xfce4-clipman-plugin
ding-libs,https://github.com/SSSD/ding-libs
libnatpmp,https://github.com/miniupnp/libnatpmp
futuresql,https://github.com/KDE/futuresql
libmms,https://git.code.sf.net/p/libmms/code libmms-code
sssd,https://github.com/SSSD/sssd
transmission,https://github.com/transmission/transmission
rtaudio,https://github.com/thestk/rtaudio
python-coverage,https://github.com/nedbat/coveragepy
prison-kf5,https://invent.kde.org/frameworks/prison
xfce4-session,https://gitlab.xfce.org/xfce/xfce4-session
xfce4-appfinder,https://gitlab.xfce.org/xfce/xfce4-appfinder
xfce4-pulseaudio-plugin,https://gitlab.xfce.org/panel-plugins/xfce4-pulseaudio-plugin
graphicsmagick,https://sourceforge.net/p/graphicsmagick/code/ci/default/tree/
virglrenderer,https://gitlab.freedesktop.org/virgl/virglrenderer
libpadwalker-perl,https://metacpan.org/dist/PadWalker
mate-settings-daemon,https://github.com/mate-desktop/mate-settings-daemon
python-msgpack,https://github.com/msgpack/msgpack-python
mailutils,https://git.savannah.gnu.org/git/mailutils.git
nmap,https://github.com/nmap/nmap
rpart,https://github.com/buserror/simavr
mate-notification-daemon,https://github.com/mate-desktop/mate-notification-daemon
fltk1.3,https://github.com/fltk/fltk
python-multidict,https://github.com/aio-libs/multidict
kfilemetadata-kf5,https://invent.kde.org/frameworks/kfilemetadata
